1g Ra2 Mb2 Dc2 Ed2 He2 Df2 Hg2 Rh2 Ra1 Rb1 Rc1 Cd1 Ce1 Rf1 Rg1 Rh1
1s da8 cb8 ec8 dd8 he8 hf8 rg8 mh8 ra7 rb7 cc7 rd7 re7 rf7 rg7 rh7
2g Rh2n Rh3n Rh4n Rh5n
2s re7s rd7s rf7w re7w
3g Ra2n Ra3n Ra4n Ra5n
3s rd6s re6s rd7e re7w
4g Ra6e Rh1n Rh2n Rh3n
4s rd7s ra7s rd5w re5e
5g Rh4n Ra1n Rh5w Rg5n
5s hf8s rc5w rf5e rb5s
6g Ra2n Rg1e Ra3n Ra4n
6s da8s rb4w ra4s ra3s
7g Ra5e Rh1n Rb5e Rc5e
7s he8e da7n hf8w rg5e
8g Rd5e Rh2n Re5n Re6n
8s Re7s he8s Re6e he7s
9g ra2n Mb2w ra3n Ma2n
9s rh5w rd6s dd8e rd5w
10g Rh3n ra4n Ma3n Rh4n
10s rc5w rg5s he6w rg4e
11g Rf6w Rg6w Rh6w Re6n
11s
